id	name	coordinates	site_type	time_period_start	time_period_end	time_period_label	description	confidence	sources	wikidata_qid	source_url	retrieved_at
gonio	Gonio	{"lat":41.57433333,"lng":41.57231667}					Archaeological site in Georgia.	90	["Wikidata"]	Q944813	http://www.wikidata.org/entity/Q944813	2026-07-08T10:31:36.248Z
goreme-national-park	Göreme National Park	{"lat":38.652777777,"lng":34.863055555}					Archaeological site in Turkey.	90	["Wikidata"]	Q620593	http://www.wikidata.org/entity/Q620593	2026-07-08T10:31:36.248Z
gorham-s-cave	Gorham's Cave	{"lat":36.120771,"lng":-5.342395}					Archaeological site in United Kingdom.	90	["Wikidata"]	Q1355749	http://www.wikidata.org/entity/Q1355749	2026-07-08T10:31:36.248Z
gracanica-monastery	Gračanica monastery	{"lat":42.598333333,"lng":21.193333333}		1315		Founded 1315 CE	Archaeological site in Serbia.	90	["Wikidata"]	Q1137661	http://www.wikidata.org/entity/Q1137661	2026-07-08T10:31:36.248Z
grand-palace	Grand Palace	{"lat":13.750138888,"lng":100.492027777}		1782		Founded 1782 CE	Archaeological site in Thailand.	90	["Wikidata"]	Q873769	http://www.wikidata.org/entity/Q873769	2026-07-08T10:31:36.248Z
great-mosque-of-samarra	Great Mosque of Samarra	{"lat":34.206195,"lng":43.87985}		848		Founded 848 CE	Archaeological site in Iraq.	90	["Wikidata"]	Q593115	http://www.wikidata.org/entity/Q593115	2026-07-08T10:31:36.248Z
great-pyramid-of-cholula	Great Pyramid of Cholula	{"lat":19.0575,"lng":-98.301944}		-299		Founded 299 BCE	Archaeological site in Mexico.	90	["Wikidata"]	Q1417475	http://www.wikidata.org/entity/Q1417475	2026-07-08T10:31:36.248Z
great-pyramid-of-giza	Great Pyramid of Giza	{"lat":29.97915,"lng":31.13422}		-2559		Founded 2559 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q37200	http://www.wikidata.org/entity/Q37200	2026-07-08T10:31:36.248Z
gundeshapur	Gundeshapur	{"lat":32.283333333,"lng":48.516666666}		271		Founded 271 CE	Archaeological site in Iran.	90	["Wikidata"]	Q1302971	http://www.wikidata.org/entity/Q1302971	2026-07-08T10:31:36.248Z
gyeongju-historic-areas	Gyeongju Historic Areas	{"lat":35.78888889,"lng":129.22666667}					Archaeological site in South Korea.	90	["Wikidata"]	Q495241	http://www.wikidata.org/entity/Q495241	2026-07-08T10:31:36.248Z
