id	name	region	coordinates	time_period_start	time_period_end	time_period_label	predecessor_culture_ids	successor_culture_ids	description	confidence	sources	wikidata_qid	source_url	retrieved_at
kolochin-culture	Kolochin culture						["kyiv-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q3919823	http://www.wikidata.org/entity/Q3919823	2026-07-08T10:47:54.206Z
komsa-culture	Komsa culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1577518	http://www.wikidata.org/entity/Q1577518	2026-07-08T10:47:54.206Z
kongemose-culture	Kongemose culture							["erteb-lle-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1781546	http://www.wikidata.org/entity/Q1781546	2026-07-08T10:47:54.206Z
koros-culture	Körös culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q739604	http://www.wikidata.org/entity/Q739604	2026-07-08T10:47:54.206Z
kulli-culture	Kulli culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1755265	http://www.wikidata.org/entity/Q1755265	2026-07-08T10:47:54.206Z
kunda-culture	Kunda culture							["narva-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1469830	http://www.wikidata.org/entity/Q1469830	2026-07-08T10:47:54.206Z
kura-araxes-culture	Kura–Araxes culture						["shulaveri-shomu-culture"]	["trialeti-vanadzor-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q169349	http://www.wikidata.org/entity/Q169349	2026-07-08T10:47:54.206Z
kyiv-culture	Kyiv culture						["zarubintsy-culture"]	["penkovka-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2732554	http://www.wikidata.org/entity/Q2732554	2026-07-08T10:47:54.206Z
la-tene-culture	La Tène culture		{"lat":47.00694444,"lng":7.02361111}				["hallstatt-culture","urnfield-culture"]	["przeworsk-culture","zarubintsy-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q208247	http://www.wikidata.org/entity/Q208247	2026-07-08T10:47:54.206Z
las-vegas-culture	Las Vegas culture		{"lat":-2.233333333,"lng":-80.866666666}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2476344	http://www.wikidata.org/entity/Q2476344	2026-07-08T10:47:54.206Z
late-antiquity	late antiquity								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q217050	http://www.wikidata.org/entity/Q217050	2026-07-08T10:47:54.206Z
lengyel-culture	Lengyel culture							["funnelbeaker-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q668742	http://www.wikidata.org/entity/Q668742	2026-07-08T10:47:54.206Z
liangzhu-culture	Liangzhu culture		{"lat":30.39556,"lng":119.990833}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1204909	http://www.wikidata.org/entity/Q1204909	2026-07-08T10:47:54.206Z
liaoning-bronze-dagger-culture	Liaoning bronze dagger culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q711949	http://www.wikidata.org/entity/Q711949	2026-07-08T10:47:54.206Z
lima-culture	Lima culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2460861	http://www.wikidata.org/entity/Q2460861	2026-07-08T10:47:54.206Z
linear-pottery-culture	Linear Pottery culture						["starcevo-koros-cris-culture"]	["cucuteni-trypillia-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q806348	http://www.wikidata.org/entity/Q806348	2026-07-08T10:47:54.206Z
longshan-culture	Longshan culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1057935	http://www.wikidata.org/entity/Q1057935	2026-07-08T10:47:54.206Z
lusatian-culture	Lusatian culture						["tumulus-culture","trzciniec-culture"]	["pomeranian-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q611017	http://www.wikidata.org/entity/Q611017	2026-07-08T10:47:54.206Z
magdalenian	Magdalenian						["solutrean"]	["ahrensburg-culture","azilian"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q693549	http://www.wikidata.org/entity/Q693549	2026-07-08T10:47:54.206Z
maglemosian-culture	Maglemosian culture							["kongemose-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q928511	http://www.wikidata.org/entity/Q928511	2026-07-08T10:47:54.206Z
majiabang-culture	Majiabang culture		{"lat":30.735934,"lng":120.71507}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1153575	http://www.wikidata.org/entity/Q1153575	2026-07-08T10:47:54.206Z
majiayao-culture	Majiayao culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1310602	http://www.wikidata.org/entity/Q1310602	2026-07-08T10:47:54.206Z
mal-ta-buret-culture	Mal'ta–Buret' culture		{"lat":52.9,"lng":103.5}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1887797	http://www.wikidata.org/entity/Q1887797	2026-07-08T10:47:54.206Z
maykop-culture	Maykop culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1257373	http://www.wikidata.org/entity/Q1257373	2026-07-08T10:47:54.206Z
merimde-culture	Merimde culture		{"lat":30.320833333,"lng":30.848888888}	-4800	-4300	4800 BCE–4300 BCE			Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1262502	http://www.wikidata.org/entity/Q1262502	2026-07-08T10:47:54.206Z
michelsberg-culture	Michelsberg culture		{"lat":49.087883,"lng":8.561572}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q570798	http://www.wikidata.org/entity/Q570798	2026-07-08T10:47:54.206Z
micoquien	Micoquien								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1759091	http://www.wikidata.org/entity/Q1759091	2026-07-08T10:47:54.206Z
milograd-culture	Milograd culture						["trzciniec-culture"]	["zarubintsy-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2446445	http://www.wikidata.org/entity/Q2446445	2026-07-08T10:47:54.206Z
minoan-civilization	Minoan civilization		{"lat":35.309722,"lng":24.893333}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q134178	http://www.wikidata.org/entity/Q134178	2026-07-08T10:47:54.206Z
mississippian-culture	Mississippian culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1052095	http://www.wikidata.org/entity/Q1052095	2026-07-08T10:47:54.206Z
