id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	dance_type	associated_music_tradition_ids	costumes	key_movements	cultural_significance	description	wikidata_qid	source_url	retrieved_at	confidence	sources
dances-of-sticks-and-ribbons	dances of sticks and ribbons							folk					European ancestral dances derived from ancient war dances that use sticks and ribbons	Q8353858	http://www.wikidata.org/entity/Q8353858	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
dansants-de-peniscola	Dansants de Peníscola							folk					folk dance from Peníscola	Q104296047	http://www.wikidata.org/entity/Q104296047	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
danza-de-tijeras	Danza de tijeras		Peru	{"lat":-9.4,"lng":-76}				folk					dance from the Andes, Peru	Q5221455	http://www.wikidata.org/entity/Q5221455	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
dhan-nach	Dhan Nach		Nepal	{"lat":28,"lng":84}				folk					Nepali folk dance	Q13182447	http://www.wikidata.org/entity/Q13182447	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
egg-dance	egg dance							folk					traditional Easter game to manipulate eggs with the feet without breaking them	Q5347839	http://www.wikidata.org/entity/Q5347839	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
ewoya-dance	Ewoya Dance		Uganda	{"lat":1.28,"lng":32.39}				folk					traditional folk dance of the Jie people found in North-Eastern Uganda	Q124412659	http://www.wikidata.org/entity/Q124412659	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
faroese-dance	Faroese dance							folk					style of dance	Q615031	http://www.wikidata.org/entity/Q615031	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
furlana	furlana							folk					Italian folk dance	Q1475008	http://www.wikidata.org/entity/Q1475008	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
ghatu-dance	Ghatu dance		Nepal	{"lat":28,"lng":84}				folk					Nepalese dance form of Gurung people	Q113541813	http://www.wikidata.org/entity/Q113541813	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
grossvater-tanz	Grossvater Tanz							folk					type of dance	Q5610623	http://www.wikidata.org/entity/Q5610623	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
hokey-pokey	Hokey Pokey							folk					participation song and dance	Q3643110	http://www.wikidata.org/entity/Q3643110	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
huaconada	Huaconada		Peru	{"lat":-9.4,"lng":-76}				folk					Peruvian dance	Q604820	http://www.wikidata.org/entity/Q604820	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
